,text,intent
5967,send whatsapp message,send whatsapp message
5968,take screenshot of google,take screenshot
5969,whats up,"greet and hello hi kind of things, general check in"
5970,How about a joke,tell me joke
5971,send email to <name> about <name>,send email
5972,let me know when you hear about france,tell me news
5973,Hola how are you?,"greet and hello hi kind of things, general check in"
5974,Tell me a joke,tell me joke
5975,send email to xyz@gmail.com,send email
5976,celeb news,tell me news
5977,good afternoon,goodbye
5978,please pause the song,volume control
5979,good afternoon,goodbye
5980,download youtube video of <name>,download youtube video
5981,turn the volume down,volume control
5982,what is the headline from today's morning local news,tell me news
5983,hello there,"greet and hello hi kind of things, general check in"
5984,Hello,"greet and hello hi kind of things, general check in"
5985,tell me a fun joke,tell me joke
5986,please will you clarify me more on it.,tell me about
5987,go silent for a day,volume control
5988,mute volume now,volume control
5989,capture photo of,click photo
5990,I am not entertained,i am bored
5991,screen shot,take screenshot
5992,send whatsapp message to <name>,send whatsapp message
5993,time,asking time
5994,play purple haze,play on youtube
5995,say a funny,tell me joke
5996,what is weather today,asking weather
5997,check outlook,send email
5998,what is the day,asking date
5999,lower the volume please,volume control
6000,co play game monopoly,play games
6001,covid confirmed cases of,covid cases
6002,do i have any mail,send email
6003,What are your functionalities?,what can you do
6004,give me the name of all the shops in my area,places near me
6005,tell chris i will be late through email,send email
6006,i want to listen to a joke,tell me joke
6007,how do you make steel,tell me about
6008,reply to erins email by saying i will be on time,send email
6009,what's on your mind today,tell me about
6010,what time is it tomorrow,asking time
6011,screen shot of,take screenshot
6012,is it monday today,asking time
6013,find me a good wine shop that stock old wines like older than ten years navigate me to that shop,tell me about
6014,cheer me up,tell me joke
6015,i am bored what can i do today with my wife,i am bored
6016,what time is it tomorrow,asking time
6017,Hope you are doing well?,"greet and hello hi kind of things, general check in"
6018,i need to edit marie jones email address to read,send email
6019,What are the things you can do?,what can you do
6020,covid cases of,covid cases
6021,give me new york's current time,asking time
6022,what is the day,asking date
6023,What is the time?,asking time
6024,Quiet,goodbye
6025,what is new in politics today can you filter out trump news though,tell me news
6026,today is monday is it,asking time
6027,what am i doing today,tell me about
6028,Shut up,goodbye
6029,what's good news today,tell me news
6030,volume control mute,volume control
6031,tell me a joke about trump and xi,tell me joke
6032,how is it outside today,asking weather
6033,This is Adam,"greet and hello hi kind of things, general check in"
6034,what is this music called,play on youtube
6035,give me time,asking time
6036,Do you know what time it is?,asking time
6037,what time is it day before tomorrow,asking time
6038,"Thank you, goodbye",goodbye
6039,lessen the speaker volume,volume control
6040,mute the volume,volume control
6041,download youtube video of guru randhawa,download youtube video
6042,send whatsapp message to,send whatsapp message
6043,is there any chances of rain this week,asking weather
6044,"s1, rephrase me further on it please.",tell me about
6045,Enough talking,goodbye
6046,turn off the bass from the audio,volume control
6047,did i email tom on the subject of gun control,send email
6048,hey there,"greet and hello hi kind of things, general check in"
6049,download youtube video of minecraft,download youtube video
6050,"s1, can you rephrase me more on the last sentence please.",tell me about
6051,daily cases of india,covid cases
6052,silently adjust,volume control
6053,hotel california is sung by whom,play on youtube
6054,how about playing a game of guess the word i'm thinking of,play games
6055,Hola how are you?,"greet and hello hi kind of things, general check in"
6056,is the mail from chris about work,send email
6057,send email to <name> about <name>,send email
6058,who sings the song that i am listening to right now,play on youtube
6059,This is Bella,"greet and hello hi kind of things, general check in"
6060,what time is it day before tomorrow,asking time
6061,Can you increase the volume?,volume control
6062,what is the weather tomorrow,asking weather
6063,hi there,"greet and hello hi kind of things, general check in"
6064,"Thank you, bye",goodbye
6065,day before tomorrow,asking date
6066,Hola how are you?,"greet and hello hi kind of things, general check in"
6067,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
6068,what time is it now,asking time
6069,newest world news,tell me news
6070,play on youtube,play on youtube
6071,i am bored,i am bored
6072,My user is Adam,"greet and hello hi kind of things, general check in"
6073,volume control mute,volume control
6074,send email to <name>,send email
6075,screen shot of <name>,take screenshot
6076,what is new,tell me news
6077,show me the name of the song playing right now,play on youtube
6078,play games,play games
6079,search for nearby chinese restaurants,places near me
6080,tell me a joke today,tell me joke
6081,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
6082,daily cases,covid cases
6083,What can you assist me with?,what can you do
6084,latest technologies gadgets,tell me about
6085,is there anything new in my email folder,send email
6086,What can you help me with?,what can you do
6087,good bye,goodbye
6088,Good thanks! It is Adam,"greet and hello hi kind of things, general check in"
6089,play games of xyz 64 bit,play games
6090,capture selfie,click photo
6091,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
6092,what's good news,tell me news
6093,covid cases of india past 24 hours,covid cases
6094,good evening,goodbye
6095,send email to dipesh,send email
6096,Hola how are you?,"greet and hello hi kind of things, general check in"
6097,tell me a joke about getting a first,tell me joke
6098,your words was not so clear.,tell me about
6099,covid confirmed cases of,covid cases
6100,Quiet,goodbye
6101,click photo,click photo
6102,How about a joke,tell me joke
6103,What are some nearby locations?,places near me
6104,play bad guy on youtube,play on youtube
6105,Make me laugh,tell me joke
6106,lower the volume ten percent,volume control
6107,What are some nearby locations?,places near me
6108,open parcheese game for you and i,play games
6109,slow the volume speaker,volume control
6110,volume control unmute,volume control
6111,Hola how are you?,"greet and hello hi kind of things, general check in"
6112,send email to <name>,send email
6113,where is the nearest smoke shop,places near me
6114,try to play old nineties classic music,play on youtube
6115,what is your age,tell me about
6116,please explain me about your words once again.,tell me about
6117,This is Adam,"greet and hello hi kind of things, general check in"
6118,Hello how are you?,"greet and hello hi kind of things, general check in"
6119,what's the good news?,tell me news
